A_0	A_1	R_0	R_1	R_2	R_3	phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	#	0	#	1	0.007539944400081196	0.37624750499001997	4	119.88883228190164	1995	0	0.16666666666666666	None	377	1002
1	1	1	#	#	#	0	0.032520160641024004	0.504	2	110.53964793744606	1972	4	0.5	None	126	250
#	1	#	#	#	#	1	0.03156501761318497	0.501004016064257	7	107.60006634461675	1995	6	0.16666666666666666	None	499	996
#	0	0	#	#	#	0	0.240485670060032	0.752	8	120.55382531631176	1993	7	0.3333333333333333	None	376	500
#	1	0	#	1	#	0	0.031882570564059055	0.5020080321285141	4	101.79189414026305	1930	10	0.5	None	125	249
0	0	#	1	1	#	1	0.032520160641024004	0.504	1	117.22257823746682	1805	13	0.6666666666666666	None	63	125
1	#	#	0	#	0	1	0.0010368263163919832	0.25301204819277107	2	137.89487078849328	1935	15	0.5	None	63	249
#	0	#	#	1	0	1	0.2373046875	0.75	2	125.3671342745879	1935	16	0.5	None	186	248
#	1	#	#	#	#	0	0.03125	0.5	6	107.60006634461675	1972	17	0.16666666666666666	None	496	992
#	#	#	0	#	1	1	0.031890347559476256	0.5020325203252033	3	129.87192322293066	1979	27	0.3333333333333333	None	247	492
#	0	0	#	#	#	1	0.0009089068802632988	0.24643584521384929	1	120.55382531631176	1983	32	0.3333333333333333	None	121	491
#	1	0	#	#	#	0	0.02937555650599116	0.49385245901639346	6	109.09245390769158	1950	43	0.3333333333333333	None	241	488
#	0	#	1	1	1	1	0.2373046875	0.75	2	134.8042097543514	1983	44	0.6666666666666666	None	93	124
#	1	1	#	#	#	0	0.03125	0.5	4	113.39041026660524	1972	52	0.3333333333333333	None	242	484
1	1	#	#	#	#	0	0.030930473033890453	0.4989733059548255	3	107.4445161559872	1972	52	0.3333333333333333	None	243	487
#	#	1	1	0	0	0	0.032562843612755486	0.5041322314049587	2	98.82675944278182	1972	56	0.6666666666666666	None	61	121
1	#	#	1	0	1	0	0.03254114951385067	0.5040650406504065	1	116.63071019563135	1991	57	0.6666666666666666	None	62	123
#	0	0	0	#	#	1	0.0009368701933137623	0.24793388429752067	1	128.104370153632	1876	58	0.5	None	60	242
#	#	1	0	#	1	1	0.09458187223507798	0.6239669421487604	5	135.85992668816183	1979	59	0.5	None	151	242
