A_0	A_1	R_0	R_1	R_2	R_3	phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
1	0	#	0	#	1	1	0.03125	0.5	1	137.3638768305484	2517	0	0.6666666666666666	None	80	160
#	1	0	0	0	#	1	0.0009765625	0.25	1	143.44083669152303	2433	1	0.6666666666666666	None	40	160
0	#	1	#	#	#	1	0.2373046875	0.75	9	134.653043161345	2537	2	0.3333333333333333	None	480	640
#	1	1	1	#	#	1	0.2373046875	0.75	4	126.05508303698963	2502	3	0.5	None	240	320
0	1	#	0	#	#	0	1.0	1.0	21	137.73215094037036	2543	4	0.5	None	320	320
1	#	0	1	#	1	1	0.2373046875	0.75	2	137.1456653015132	2533	5	0.6666666666666666	None	120	160
#	#	#	0	#	#	0	0.09589134500910097	0.6256851996867658	5	127.76611502666756	2559	7	0.16666666666666666	None	799	1277
1	0	#	#	1	#	1	1.0	1.0	30	129.86607888128438	2554	11	0.5	None	318	318
0	1	#	#	0	1	1	0.03125	0.5	2	116.81696311624701	2511	15	0.6666666666666666	None	80	160
#	#	#	1	#	1	0	0.0009920631820896733	0.250788643533123	1	135.78823001191353	2535	18	0.3333333333333333	None	159	634
#	1	#	0	1	1	1	0.03224514345148966	0.5031446540880503	1	130.78915107506324	2356	28	0.6666666666666666	None	80	159
#	1	#	#	#	#	1	0.030638233508161826	0.4980268350434096	6	125.12676018683995	2558	32	0.16666666666666666	None	631	1267
#	1	1	1	#	#	0	0.0010565673013513768	0.25396825396825395	1	126.05508303698963	2427	40	0.5	None	80	315
#	#	#	#	#	0	0	0.09734847071460337	0.6275752773375595	5	129.66775020874712	2540	43	0.16666666666666666	None	792	1262
#	#	#	0	#	0	0	0.2373046875	0.75	7	146.65215120590747	2540	53	0.3333333333333333	None	471	628
0	#	1	#	#	#	0	0.0009844252814470063	0.2504012841091493	1	134.653043161345	2448	66	0.3333333333333333	None	156	623
#	0	#	#	0	#	0	0.2373046875	0.75	11	139.21104295958145	2535	76	0.3333333333333333	None	465	620
1	#	0	1	#	1	0	0.0009147751931370566	0.24675324675324675	1	137.14566530151322	2380	76	0.6666666666666666	None	38	154
1	0	#	#	#	#	1	0.030997578059590174	0.4991896272285251	6	133.69246889069106	2554	85	0.3333333333333333	None	308	617
#	#	1	1	#	#	0	0.0010252189738952954	0.252442996742671	1	131.83307053225926	2482	104	0.3333333333333333	None	155	614
#	1	#	#	#	0	0	0.24184069164150618	0.7528455284552845	7	130.59581779641476	2540	104	0.3333333333333333	None	463	615
0	#	#	0	#	#	0	0.23990099414539548	0.7516339869281046	11	128.53904697848515	2559	111	0.3333333333333333	None	460	612
#	1	#	0	#	#	0	0.23601918300981134	0.749185667752443	13	135.6571097769538	2543	111	0.3333333333333333	None	460	614
#	0	#	#	1	#	1	0.23536276106000156	0.7487684729064039	9	118.43757990657073	2554	122	0.3333333333333333	None	456	609
#	0	#	1	1	#	1	0.23600224999146535	0.7491749174917491	1	119.38518120873039	2434	130	0.5	None	227	303
#	0	1	#	#	#	1	0.23665382478883001	0.7495881383855024	8	131.97719781385817	2537	130	0.3333333333333333	None	455	607
#	0	#	#	#	#	0	0.03137923886405836	0.500412881915772	3	126.08284570566543	2559	136	0.16666666666666666	None	606	1211
#	#	#	#	0	0	0	0.23795914018424638	0.7504132231404959	6	135.49757091049923	2540	136	0.3333333333333333	None	454	605
1	1	#	#	#	#	1	0.03048285250532689	0.4975206611570248	2	126.0654365690149	2558	141	0.3333333333333333	None	301	605
#	0	#	#	1	#	0	0.0009846869352340005	0.2504145936981758	2	118.43757990657073	2559	146	0.3333333333333333	None	151	603
0	#	1	1	#	#	1	1.0	1.0	21	138.64471386834248	2537	148	0.5	None	300	300
