A_0	A_1	R_0	R_1	R_2	R_3	phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	#	0	#	1	0.007415771484375	0.375	4	175.58035085819665	2927	0	0.16666666666666666	None	552	1472
1	1	1	#	#	#	0	0.03125	0.5	2	165.38157230619134	2932	4	0.5	None	184	368
#	1	#	#	#	#	1	0.03125	0.5	8	169.57070274462023	2927	6	0.16666666666666666	None	734	1468
#	0	0	#	#	#	0	0.2373046875	0.75	11	175.92349272166348	2928	7	0.3333333333333333	None	552	736
#	1	0	#	1	#	0	0.03167807580915552	0.5013623978201635	4	159.08347782879235	2890	10	0.5	None	184	367
0	0	#	1	1	#	1	0.03125	0.5	1	165.27730231013206	2829	13	0.6666666666666666	None	92	184
1	#	#	0	#	0	1	0.0010173603658269804	0.25205479452054796	2	185.17195332924686	2895	15	0.5	None	92	365
#	0	#	#	1	0	1	0.2394738201189706	0.7513661202185792	3	168.14523864191648	2895	16	0.5	None	275	366
#	1	#	#	#	#	0	0.0314640402953288	0.5006830601092896	6	169.57070274462023	2932	17	0.16666666666666666	None	733	1464
#	#	#	0	#	1	1	0.0314643339012186	0.5006839945280438	3	174.5007928801555	2922	27	0.3333333333333333	None	366	731
#	0	0	#	#	#	1	0.0009565789506117273	0.24896836313617607	1	175.92349272166348	2943	32	0.3333333333333333	None	181	727
#	1	0	#	#	#	0	0.03081956580710192	0.4986149584487535	6	167.88510140661597	2904	43	0.3333333333333333	None	360	722
#	0	#	1	1	1	1	0.23515130168221252	0.7486338797814208	2	189.4525928508771	2943	44	0.6666666666666666	None	137	183
#	1	1	#	#	#	0	0.03081956580710192	0.4986149584487535	4	172.86220510637062	2932	52	0.3333333333333333	None	360	722
1	1	#	#	#	#	0	0.03081956580710192	0.4986149584487535	3	163.8875728871896	2932	52	0.3333333333333333	None	360	722
#	#	1	1	0	0	0	0.03212285129556479	0.5027624309392266	2	154.07664893017153	2932	56	0.6666666666666666	None	91	181
1	#	#	1	0	1	0	0.03212285129556479	0.5027624309392266	1	165.17653596933252	2873	57	0.6666666666666666	None	91	181
#	0	0	0	#	#	1	0.0009765625	0.25	1	181.5894431968817	2843	58	0.5	None	90	360
#	#	1	0	#	1	1	0.09484170286914775	0.6243093922651933	5	178.21495372918702	2922	59	0.5	None	226	362
#	0	0	1	1	#	1	0.03125	0.5	1	168.5259365519418	2943	63	0.6666666666666666	None	90	180
#	0	#	#	#	1	1	0.03125	0.5	3	180.1261661315993	2943	63	0.3333333333333333	None	360	720
#	1	#	#	0	#	1	0.031033287937911623	0.4993045897079277	2	178.24194395929325	2927	64	0.3333333333333333	None	359	719
#	0	0	1	#	#	0	0.23399965993447927	0.7478991596638656	5	170.23192035518392	2928	83	0.5	None	267	357
0	1	1	#	#	#	0	0.03081477003252402	0.49859943977591037	2	174.4680404595673	2897	89	0.5	None	178	357
0	1	#	#	#	#	1	0.03125	0.5	7	177.77258467238846	2915	99	0.3333333333333333	None	355	710
#	0	#	#	0	#	1	0.0009359908333294817	0.24788732394366197	1	171.78150425436382	2901	105	0.3333333333333333	None	176	710
#	1	0	0	#	#	0	0.23396242137509474	0.7478753541076487	2	180.91103696289022	2904	107	0.5	None	264	353
1	#	#	#	#	1	0	0.0009834884474061894	0.25035360678925034	1	175.54088690208013	2940	121	0.3333333333333333	None	177	707
1	#	#	1	0	#	0	0.2373046875	0.75	8	168.19167186090266	2932	121	0.5	None	264	352
#	0	1	#	#	1	1	0.23396242137509474	0.7478753541076487	10	184.2613935800935	2922	123	0.5	None	264	353
1	#	1	#	0	1	0	0.030377150226468558	0.4971751412429379	1	171.34861970289666	2940	124	0.6666666666666666	None	88	177
1	0	#	#	#	#	1	0.03147226083914665	0.500709219858156	2	183.47441084789796	2943	124	0.3333333333333333	None	353	705
#	1	#	#	0	#	0	0.031472894959095686	0.5007112375533428	3	178.24194395929325	2932	128	0.3333333333333333	None	352	703
0	0	0	#	#	#	0	1.0	1.0	23	170.5682799084823	2928	137	0.5	None	351	351
#	#	0	#	#	#	0	0.09577626541482726	0.6255349500713266	9	173.365331497552	2928	137	0.16666666666666666	None	877	1402
1	#	0	#	#	1	0	0.0009350716332891413	0.2478386167146974	1	165.58861848906625	2912	160	0.5	None	86	347
1	#	#	0	#	1	0	0.0009626515807204534	0.2492836676217765	1	173.73913114223063	2940	160	0.5	None	87	349
#	#	0	0	#	#	1	0.0009765625	0.25	1	180.1439642389177	2843	165	0.3333333333333333	None	173	692
1	1	#	#	#	#	1	0.031932288670462626	0.5021645021645021	2	163.8875728871896	2927	174	0.3333333333333333	None	348	693
1	#	1	#	#	#	0	0.031702890995480223	0.5014409221902018	2	173.0914111912502	2940	174	0.3333333333333333	None	348	694
#	#	#	1	0	0	0	0.095367431640625	0.625	2	163.19882241383615	2932	184	0.5	None	215	344
1	#	1	#	0	#	0	0.2350273081276006	0.7485549132947977	5	172.4682220620919	2940	185	0.5	None	259	346
1	#	#	1	#	1	0	0.0009624912296562928	0.2492753623188406	2	175.49775044915197	2873	185	0.5	None	86	345
#	0	#	1	#	1	1	0.03125	0.5	2	180.54745299459586	2943	191	0.5	None	172	344
#	0	#	#	1	1	1	0.2373046875	0.75	1	189.58424556775287	2943	191	0.5	None	258	344
0	#	0	#	#	#	0	0.240205688326136	0.7518248175182481	13	173.16296258003462	2928	201	0.3333333333333333	None	515	685
#	0	#	#	1	#	1	0.23788263337197235	0.7503649635036497	19	182.08983655334052	2943	207	0.3333333333333333	None	514	685
0	1	#	#	#	#	0	0.03194236601665165	0.5021961932650073	8	177.77258467238846	2897	210	0.3333333333333333	None	343	683
#	#	0	#	0	#	0	0.2396542205262754	0.7514792899408284	4	180.87502569669326	2912	224	0.3333333333333333	None	508	676
#	0	0	0	#	#	0	0.24082546701511512	0.7522123893805309	3	181.5894431968817	2912	224	0.5	None	255	339
#	0	1	#	#	#	1	0.2344065214217691	0.748159057437408	9	178.59637342768028	2922	228	0.3333333333333333	None	508	679
#	0	1	1	0	#	0	0.03218556264100162	0.5029585798816568	1	160.663227463362	2873	248	0.6666666666666666	None	85	169
1	#	#	#	0	0	0	1.0	1.0	20	179.90932915480286	2932	248	0.5	None	336	336
1	0	0	#	#	#	1	0.03125	0.5	1	180.51026681419233	2943	255	0.5	None	168	336
1	#	0	0	0	#	0	0.23494581272576515	0.7485029940119761	1	186.76824821465488	2912	264	0.6666666666666666	None	125	167
#	#	#	#	1	#	0	0.007305747153275895	0.3738805970149254	2	172.78140005957135	2928	266	0.16666666666666666	None	501	1340
0	#	#	#	#	0	0	0.031961275858703675	0.5022556390977444	2	173.49240373866667	2889	286	0.3333333333333333	None	334	665
#	#	0	0	0	#	0	0.5162380606819198	0.8761329305135952	2	186.87114939268992	2912	288	0.5	None	290	331
1	#	0	#	0	#	0	0.2373046875	0.75	1	179.3014785849304	2912	288	0.5	None	246	328
0	1	#	#	1	#	1	0.03172491530321712	0.5015105740181269	1	166.74879215238064	2915	291	0.5	None	166	331
#	0	#	#	1	#	0	0.000991403603225535	0.25075528700906347	1	182.08983655334052	2928	292	0.3333333333333333	None	166	662
1	1	1	0	#	#	0	0.030314439367965455	0.49696969696969695	1	172.5150385773238	2926	302	0.6666666666666666	None	82	165
0	#	0	#	1	#	0	0.2385092773455079	0.7507598784194529	5	166.71918203497856	2928	304	0.5	None	247	329
1	#	#	#	0	#	0	0.23610496959784688	0.7492401215805471	11	173.10589544737738	2940	313	0.3333333333333333	None	493	658
1	#	1	1	0	#	0	0.2373046875	0.75	2	166.63379732951563	2932	313	0.6666666666666666	None	123	164
1	0	#	#	1	#	1	1.0	1.0	41	195.26212737200183	2943	319	0.5	None	328	328
#	0	#	#	#	#	1	0.03125	0.5	6	177.23721981527723	2943	319	0.16666666666666666	None	656	1312
1	#	1	0	0	#	0	0.2348881629707487	0.7484662576687117	1	178.17445099924433	2940	321	0.6666666666666666	None	122	163
#	#	#	#	0	0	0	0.2373046875	0.75	6	179.84616747240284	2932	328	0.3333333333333333	None	489	652
0	1	#	#	0	#	1	0.030303100933259965	0.49693251533742333	1	181.72912444643248	2891	331	0.5	None	162	326
#	1	#	#	#	1	0	0.0009840860584035553	0.250384024577573	2	168.35456830864783	2897	337	0.3333333333333333	None	163	651
1	1	#	#	#	1	1	1.0	1.0	16	163.03752316369554	2927	375	0.5	None	321	321
1	0	0	#	#	#	0	0.030763249397221658	0.49843260188087773	2	180.51026681419233	2912	391	0.5	None	159	319
#	1	0	1	#	#	0	0.0009765625	0.25	1	149.47908951418106	2890	394	0.5	None	79	316
#	#	0	0	0	#	1	2.863436931626339e-05	0.12341772151898735	1	186.87114939268992	2702	414	0.5	None	39	316
0	#	0	#	#	0	0	0.23855497286298294	0.750788643533123	1	177.22090406933862	2889	414	0.5	None	238	317
#	#	#	0	0	#	0	0.2385629279835275	0.7507936507936508	3	180.5005544133162	2940	416	0.3333333333333333	None	473	630
#	#	#	#	#	1	1	0.09597255299496531	0.6257911392405063	1	176.27521898254662	2943	424	0.16666666666666666	None	791	1264
1	1	1	0	#	#	1	0.03125	0.5	1	172.51503857732382	2856	424	0.6666666666666666	None	79	158
#	#	1	#	#	1	1	0.2379301607624849	0.7503949447077409	4	178.98607077810323	2927	425	0.3333333333333333	None	475	633
1	1	#	0	1	#	0	0.030267374574427543	0.4968152866242038	1	160.15457351080755	2926	430	0.6666666666666666	None	78	157
#	#	1	0	0	#	0	0.09385369363962613	0.6230031948881789	4	174.44075669937624	2940	444	0.5	None	195	313
1	0	#	#	#	1	1	0.03125	0.5	2	187.0238277499506	2943	447	0.5	None	156	312
#	0	1	#	1	#	1	1.0	1.0	17	193.49476749470563	2922	484	0.5	None	307	307
#	0	1	#	#	1	0	0.0010248979308171181	0.2524271844660194	1	184.2613935800935	2940	489	0.5	None	78	309
#	0	#	1	#	#	1	0.030495204742989977	0.4975609756097561	1	174.14143221703137	2943	489	0.3333333333333333	None	306	615
1	#	#	#	#	#	1	0.031121610691394734	0.49958847736625517	3	173.67673810372804	2943	512	0.16666666666666666	None	607	1215
0	#	#	#	#	#	0	0.03164029490988016	0.5012427506213754	1	175.7239051123468	2928	529	0.16666666666666666	None	605	1207
0	#	0	#	0	0	0	0.24262520879670776	0.7533333333333333	1	184.1749389788877	2869	542	0.6666666666666666	None	113	150
#	#	0	0	#	#	0	0.23995315107061477	0.7516666666666667	7	180.1439642389177	2912	542	0.3333333333333333	None	451	600
0	1	1	#	1	#	1	0.03231282844749583	0.5033557046979866	1	163.37103042968533	2915	547	0.6666666666666666	None	75	149
#	#	1	#	1	#	1	0.23664071285347374	0.7495798319327731	8	181.16733069722616	2922	556	0.3333333333333333	None	446	595
#	1	1	#	0	#	1	0.03177964894694541	0.5016835016835017	1	175.93491553881768	2927	566	0.5	None	149	297
1	0	1	#	#	#	0	0.03125	0.5	1	182.9408516243171	2940	572	0.5	None	148	296
#	0	0	1	0	#	1	0.0	0.0	2	168.7156463575224	583	583	0.6666666666666666	None	0	147
#	#	0	#	1	#	0	0.030985619117579983	0.499151103565365	3	167.53015221805987	2928	586	0.3333333333333333	None	294	589
#	#	#	0	#	#	0	0.09553112441299426	0.6252144082332761	9	177.48821359982117	2940	608	0.16666666666666666	None	729	1166
#	0	1	#	#	#	0	0.0010279494310306795	0.25257731958762886	1	178.59637342768028	2940	617	0.3333333333333333	None	147	582
#	#	1	0	#	#	0	0.03125	0.5	1	177.60705152660958	2940	622	0.3333333333333333	None	290	580
#	#	#	1	0	#	0	0.031521737493771754	0.5008665511265165	2	168.4796946630809	2932	632	0.3333333333333333	None	289	577
#	#	1	#	#	#	1	0.095367431640625	0.625	9	175.45396705795739	2927	638	0.16666666666666666	None	720	1152
#	1	0	1	1	#	0	0.0009097006391345421	0.24647887323943662	1	140.66959936874298	2890	650	0.6666666666666666	None	35	142
0	1	#	0	#	#	0	1.0	1.0	18	187.81680598675035	2897	657	0.5	None	287	287
#	#	1	#	1	1	1	0.5180897918099074	0.8767605633802817	5	191.88947747192168	2922	680	0.5	None	249	284
1	1	#	0	#	#	0	0.030157451412708515	0.49645390070921985	2	171.54807059460867	2926	686	0.5	None	140	282
0	#	#	0	#	#	0	0.24016374711791208	0.7517985611510791	3	184.54565963646695	2897	721	0.3333333333333333	None	418	556
#	1	#	0	#	#	0	0.23801560576654593	0.7504488330341114	5	175.96796472472337	2926	721	0.3333333333333333	None	418	557
#	#	#	0	#	0	0	0.24165081162760113	0.7527272727272727	13	187.824796541966	2926	734	0.3333333333333333	None	414	550
#	0	1	#	1	#	0	0.0	0.0	1	193.49476749470563	740	740	0.5	None	0	275
#	0	1	1	#	#	1	0.23020027395048778	0.7454545454545455	2	177.052914071136	2901	745	0.5	None	205	275
#	#	1	#	0	#	1	0.03125	0.5	3	171.47523224873436	2927	786	0.3333333333333333	None	270	540
#	1	1	#	#	#	1	0.031833006303873014	0.5018518518518519	2	172.86220510637062	2927	786	0.3333333333333333	None	271	540
#	0	1	#	0	#	1	0.029533393314702866	0.4943820224719101	3	161.73132784321712	2901	809	0.5	None	132	267
1	#	1	0	#	#	0	0.03066481057996481	0.4981132075471698	2	177.95815861595125	2940	828	0.5	None	132	265
#	1	#	#	0	1	1	0.23430086944568226	0.7480916030534351	6	171.61557689411825	2927	834	0.5	None	196	262
#	#	0	1	#	#	0	0.031850943928472486	0.5019083969465649	2	165.56400815642786	2928	839	0.3333333333333333	None	263	524
#	1	#	0	#	#	1	0.0009672972681778441	0.24952380952380954	1	175.96796472472337	2856	849	0.3333333333333333	None	131	525
#	#	0	#	0	0	0	0.5143360602500469	0.8754863813229572	1	189.71706185964825	2904	885	0.5	None	225	257
#	#	#	1	1	1	1	0.5114738247078617	0.8745098039215686	1	175.3082185372942	2943	902	0.5	None	223	255
#	#	0	1	1	#	0	0.007318961174806566	0.37401574803149606	1	160.82555409423748	2928	906	0.5	None	95	254
1	0	0	#	#	1	0	0.030019840638976	0.496	1	175.72057420565335	2912	928	0.6666666666666666	None	62	125
#	#	#	#	#	0	0	0.09709993956770055	0.627254509018036	6	171.77319744408118	2932	942	0.16666666666666666	None	626	998
0	#	1	#	0	#	1	0.2373046875	0.75	4	168.72238642068595	2901	950	0.5	None	186	248
#	0	1	0	0	#	0	0.03125	0.5	1	157.66281439045528	2940	956	0.6666666666666666	None	62	124
#	#	#	#	1	#	1	0.095367431640625	0.625	5	172.78140005957135	2943	959	0.16666666666666666	None	620	992
#	1	#	#	#	1	1	0.23410655790434154	0.7479674796747967	9	168.35456830864783	2927	974	0.3333333333333333	None	368	492
#	#	#	0	0	0	0	0.515943891186639	0.8760330578512396	1	198.45356848966307	2904	990	0.5	None	212	242
#	#	1	1	#	1	1	0.5099372811193792	0.8739837398373984	8	180.8125816716115	2927	995	0.5	None	215	246
#	#	1	0	#	0	0	0.09656050393001485	0.6265560165975104	1	175.22057492264702	2926	1006	0.5	None	151	241
1	#	#	#	#	#	0	0.031089083761379806	0.49948400412796695	2	173.67673810372804	2940	1006	0.16666666666666666	None	484	969
#	#	1	1	#	1	0	3.521464027143379e-05	0.12863070539419086	1	180.8125816716115	2873	1014	0.5	None	31	241
