A_0	A_1	R_0	R_1	R_2	R_3	phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	1	0	#	1	0.03125	0.5	4	151.47985457749311	2987	0	0.3333333333333333	None	375	750
0	#	0	1	0	1	0	0.03125	0.5	1	174.7167795991436	2561	1	0.8333333333333334	None	47	94
#	#	0	0	#	0	0	0.5119327102199616	0.8746666666666667	4	184.2731123480512	2975	2	0.5	None	328	375
1	#	#	0	#	1	0	0.0009765625	0.25	2	168.7756937981246	2968	3	0.5	None	94	376
1	0	1	0	#	0	0	0.03125	0.5	2	143.5131527817428	2503	7	0.8333333333333334	None	47	94
1	#	#	1	0	#	0	0.23836692701638046	0.7506702412868632	3	164.37953109938454	2998	12	0.5	None	280	373
#	0	#	0	1	#	1	0.24371795793223294	0.7540106951871658	11	167.40639253040501	2957	13	0.5	None	282	374
#	0	#	#	#	#	1	0.03199048845210091	0.5023474178403756	6	132.8954767691725	2984	14	0.16666666666666666	None	749	1491
#	1	#	#	1	1	0	0.001002954559391905	0.25133689839572193	3	179.04026652294283	2959	15	0.5	None	94	374
#	#	0	#	#	#	0	0.09460286505084345	0.6239946380697051	5	172.13127966413364	2998	16	0.16666666666666666	None	931	1492
0	#	#	#	1	#	1	0.032096834379612256	0.5026809651474531	2	149.65025913691653	2957	17	0.3333333333333333	None	375	746
#	1	#	#	#	1	1	0.2362462383074239	0.7493297587131368	12	161.03213130987655	2978	22	0.3333333333333333	None	559	746
#	1	#	1	#	#	0	0.0009765625	0.25	2	152.1148871055028	2998	28	0.3333333333333333	None	186	744
#	#	#	#	0	#	1	0.007567108768053847	0.3765182186234818	1	147.34899674762133	2987	32	0.16666666666666666	None	558	1482
1	1	#	0	1	#	0	0.03296662947387871	0.5053763440860215	1	174.85283086278469	2982	38	0.6666666666666666	None	94	186
#	1	1	0	0	#	0	0.23308229207214232	0.7473118279569892	3	147.28346235994007	2995	41	0.6666666666666666	None	139	186
