A_0	A_1	R_0	R_1	R_2	R_3	phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	#	0	#	1	0.007590781984598135	0.37675350701402804	4	65.27732355250482	974	0	0.16666666666666666	None	188	499
1	0	1	0	0	#	0	1.0	1.0	3	61.03236263557831	956	1	0.8333333333333334	None	31	31
1	1	1	#	#	#	0	0.03389684629935409	0.5081967213114754	2	61.34425486219742	942	4	0.5	None	62	122
#	1	#	#	#	#	1	0.030318158748527325	0.4969818913480885	5	57.78492688215342	995	6	0.16666666666666666	None	247	497
#	0	0	#	#	#	0	0.234157455059968	0.748	6	65.03933830418748	967	7	0.3333333333333333	None	187	250
#	1	0	#	1	#	0	0.035184372088832	0.512	4	56.7645692030911	970	10	0.5	None	64	125
0	0	#	1	1	#	1	0.03662616470883121	0.5161290322580645	1	53.226290906677455	973	13	0.6666666666666666	None	32	62
1	#	#	0	#	0	1	0.0011445676471509754	0.25806451612903225	2	66.6954287111923	916	15	0.5	None	32	124
#	0	#	#	1	0	1	0.2535525376	0.76	2	60.32822057830687	989	16	0.5	None	95	125
#	1	#	#	#	#	0	0.032867156980244595	0.5050709939148073	6	57.78492688215342	990	17	0.16666666666666666	None	249	493
#	#	#	0	#	1	1	0.030612266365826674	0.49794238683127573	3	69.1331442020898	974	27	0.3333333333333333	None	121	243
#	0	0	#	#	#	1	0.0009564693090293502	0.24896265560165975	1	65.03933830418748	989	32	0.3333333333333333	None	60	241
#	1	0	#	#	#	0	0.030601682309514048	0.497907949790795	6	62.17768781713734	990	43	0.3333333333333333	None	119	239
#	0	#	1	1	1	1	0.2373046875	0.75	2	66.30399586899986	973	44	0.6666666666666666	None	45	60
#	1	1	#	#	#	0	0.03125	0.5	4	57.26780470452625	977	52	0.3333333333333333	None	117	234
1	1	#	#	#	#	0	0.032608494584992084	0.5042735042735043	3	60.4464129619558	970	52	0.3333333333333333	None	118	234
#	#	1	1	0	0	0	0.0286899592428037	0.4915254237288136	2	46.59220964993075	952	56	0.6666666666666666	None	29	59
1	#	#	1	0	1	0	0.03398961265408045	0.5084745762711864	1	60.128577108233216	967	57	0.6666666666666666	None	30	59
#	0	0	0	#	#	1	0.0010621753954400141	0.2542372881355932	1	67.2519513139852	916	58	0.5	None	30	118
#	#	1	0	#	1	1	0.08825375108068294	0.6153846153846154	4	70.96465453264257	938	59	0.5	None	72	117
#	0	0	1	1	#	1	0.03408911379396854	0.5087719298245614	1	60.573327775726554	989	63	0.6666666666666666	None	29	57
#	0	#	#	#	1	1	0.030579424113337098	0.49783549783549785	2	65.5054750583289	973	63	0.3333333333333333	None	115	231
#	1	#	#	0	#	1	0.030585130720291925	0.4978540772532189	2	68.05667971163965	974	64	0.3333333333333333	None	116	233
#	0	0	1	#	#	0	0.22698868709122902	0.7433628318584071	2	57.608327733692796	967	83	0.5	None	84	113
0	1	1	#	#	#	0	0.029914729255417254	0.4956521739130435	2	55.56213962722302	977	89	0.5	None	57	115
0	1	#	#	#	#	1	0.03194441731232757	0.5022026431718062	5	58.19948245391655	995	99	0.3333333333333333	None	114	227
#	0	#	#	0	#	1	0.0009126182141562132	0.24663677130044842	1	56.63602176268163	917	105	0.3333333333333333	None	55	223
#	1	0	0	#	#	0	0.23376289008649898	0.7477477477477478	1	66.82508103243333	990	107	0.5	None	83	111
1	#	#	#	#	1	0	0.0010703965279832326	0.25462962962962965	1	69.89972253708372	967	121	0.3333333333333333	None	55	216
1	#	#	1	0	#	0	0.2373046875	0.75	2	58.357608570799464	967	121	0.5	None	81	108
#	0	1	#	#	1	1	0.23363131129320844	0.7476635514018691	7	66.59737859179617	973	123	0.5	None	80	107
1	#	1	#	0	1	0	0.028411057026862793	0.49056603773584906	1	72.95111272978427	956	124	0.6666666666666666	None	26	53
1	0	#	#	#	#	1	0.03197001585040907	0.502283105022831	2	68.35290174434597	989	124	0.3333333333333333	None	110	219
#	1	#	#	0	#	0	0.03197671310525621	0.5023041474654378	1	68.05667971163965	990	128	0.3333333333333333	None	109	217
0	0	0	#	#	#	0	1.0	1.0	6	57.53344102372834	944	137	0.5	None	106	106
#	#	0	#	#	#	0	0.09603000967197985	0.625866050808314	6	63.730170747301166	990	137	0.16666666666666666	None	271	433
1	#	0	#	#	1	0	0.0009765625	0.25	1	67.32341469887851	967	160	0.5	None	26	104
1	#	#	0	#	1	0	0.0009765625	0.25	1	74.03673985663848	956	160	0.5	None	26	104
#	#	0	0	#	#	1	0.0009765625	0.25	1	67.49879795584778	974	165	0.3333333333333333	None	52	208
1	1	#	#	#	#	1	0.030495204742989977	0.4975609756097561	2	60.4464129619558	974	174	0.3333333333333333	None	102	205
1	#	1	#	#	#	0	0.03362837904512624	0.5073891625615764	2	66.91708843996722	956	174	0.3333333333333333	None	103	203
#	#	#	1	0	0	0	0.0871668954937998	0.6138613861386139	1	51.62422161754641	952	184	0.5	None	62	101
1	#	1	#	0	#	0	0.2373046875	0.75	3	70.87258376030793	956	185	0.5	None	75	100
1	#	#	1	#	1	0	0.0010268903445442876	0.25252525252525254	1	61.8081920112359	967	185	0.5	None	25	99
#	0	#	1	#	1	1	0.029703281230934367	0.494949494949495	2	61.06069940149969	973	191	0.5	None	49	99
#	0	#	#	1	1	1	0.23333647121053863	0.7474747474747475	1	69.53788669818812	973	191	0.5	None	74	99
0	#	0	#	#	#	0	0.23532385812437429	0.7487437185929648	4	61.81972407105562	990	201	0.3333333333333333	None	149	199
#	0	#	#	1	#	1	0.243327342629624	0.7537688442211056	11	63.05942403790734	989	207	0.3333333333333333	None	150	199
0	1	#	#	#	#	0	0.032844064065625005	0.505	5	58.19948245391655	990	210	0.3333333333333333	None	101	200
#	#	0	#	0	#	0	0.2373046875	0.75	4	65.70603657947076	990	224	0.3333333333333333	None	144	192
#	0	0	0	#	#	0	0.24141020746326297	0.7525773195876289	3	67.25195131621248	928	224	0.5	None	73	97
#	0	1	#	#	#	1	0.2373046875	0.75	4	57.01992039575963	973	228	0.3333333333333333	None	144	192
#	0	1	1	0	#	0	0.03125	0.5	1	46.38867954622974	952	248	0.6666666666666666	None	23	46
1	#	#	#	0	0	0	1.0	1.0	5	63.67846727512423	952	248	0.5	None	94	94
