A_0	A_1	R_0	R_1	R_2	R_3	phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	#	1	0	#	1	0.03125	0.5	3	162.00116734630942	4644	0	0.3333333333333333	24881.27774674928	584	1168
0	#	0	1	0	1	0	0.03125	0.5	1	203.32747806054718	4225	1	0.8333333333333334	3469.829218614233	73	146
#	#	0	0	#	0	0	0.512908935546875	0.875	6	200.9063586265204	4575	2	0.5	1197.797689698903	511	584
1	0	1	0	#	0	0	0.03125	0.5	1	169.48792013019406	3591	7	0.8333333333333334	2892.349539174332	73	146
1	#	#	1	0	#	0	0.23866693815262766	0.7508591065292096	4	177.63718955340187	4662	12	0.5	710.5487582136075	437	582
#	0	#	0	1	#	1	0.2373046875	0.75	9	183.3274418023176	4638	13	0.5	32063.227739325794	438	584
#	0	#	#	#	#	1	0.03151939495696505	0.5008591065292096	2	172.88719372567593	4655	14	0.16666666666666666	10500.53587566028	1166	2328
#	#	0	#	#	#	0	0.09516286837056954	0.6247316444826105	5	191.01317569063164	4668	16	0.16666666666666666	25865.281939253684	1455	2329
0	#	#	#	1	#	1	0.03125	0.5	1	175.71827847233607	4655	17	0.3333333333333333	2912.200965583876	583	1166
#	1	#	#	#	1	1	0.23696480688050925	0.7497850386930353	17	180.07124080092302	4666	22	0.3333333333333333	117117.12327689785	872	1163
#	1	1	0	0	#	0	0.2345895594912797	0.7482758620689656	3	156.78462879381908	4595	41	0.6666666666666666	470.35388638145724	217	290
1	#	#	#	1	1	1	1.0	1.0	32	196.0708486042586	4666	45	0.5	107071.78246953184	577	577
#	#	#	#	0	1	1	0.031114718817975073	0.49956634865568084	2	163.23805899527017	4642	52	0.3333333333333333	10498.360973528648	576	1153
1	#	#	1	#	0	0	0.2373046875	0.75	9	166.69526442212614	4662	57	0.5	30343.383897473002	432	576
0	#	#	0	#	0	0	0.23799093541488558	0.7504332755632582	3	177.2609386724192	4671	63	0.5	523.598150026965	433	577
1	0	1	0	#	0	1	0.03235804650429521	0.5034965034965035	1	169.48792013019414	3858	71	0.8333333333333334	2793.305927389655	72	143
0	1	#	#	#	#	1	0.03111329854743823	0.49956178790534617	1	169.43354545196024	4644	103	0.3333333333333333	2918.8690986616607	570	1141
#	#	#	#	1	1	1	0.23626661084460918	0.7493426818580193	6	186.82152739725228	4666	103	0.3333333333333333	15180.606226088648	855	1141
#	#	#	1	#	#	1	0.09524151743633107	0.6248348745046235	3	167.88240431851906	4666	128	0.16666666666666666	8460.2545669821	1419	2271
#	1	#	#	0	1	1	0.2366079625334324	0.7495590828924162	3	167.01499970954748	4642	128	0.5	501.0449991286424	425	567
#	#	0	1	0	#	0	0.09570489567557952	0.6254416961130742	3	186.97131487328258	4662	129	0.5	9376.599898354987	354	566
0	#	0	#	#	1	0	0.2366079625334324	0.7495590828924162	6	189.88988771862995	4668	129	0.5	15227.194561969005	425	567
1	#	#	0	0	1	0	0.030701768004461196	0.49823321554770317	1	161.040363306772	4611	131	0.6666666666666666	2797.263660966112	141	283
1	0	1	1	0	1	1	0.0	0.0	1	144.71511972633016	133	133	1.0	7717.487873370315	0	70
0	#	#	#	#	#	1	0.03131898452059764	0.5002205558006175	2	172.71242908818408	4655	141	0.16666666666666666	10781.425752202897	1134	2267
#	#	#	#	1	#	1	0.09498975593625998	0.624504186866461	7	180.55371981772745	4666	141	0.16666666666666666	49210.8227137275	1417	2269
#	#	#	0	#	0	0	0.23941968915926476	0.7513321492007105	8	184.12173010107608	4671	159	0.3333333333333333	26486.58083329163	846	1126
1	1	1	0	0	0	1	0.0	0.0	1	200.7729778662926	169	169	1.0	10706.987804133663	0	70
1	#	0	1	#	0	0	0.23447292177300055	0.7482014388489209	4	180.84314524260623	4662	208	0.6666666666666666	723.3725809704249	208	278
#	#	#	0	1	#	1	0.031110366622097322	0.4995523724261415	1	183.75649237925919	4638	210	0.3333333333333333	3137.5452955154333	558	1117
#	0	#	#	1	#	1	0.23624434653655155	0.7493285586392122	16	175.18066770096013	4655	210	0.3333333333333333	96349.14090829583	837	1117
#	#	#	1	0	#	0	0.03125	0.5	1	162.00116734630942	4662	257	0.3333333333333333	2764.586416305476	551	1102
1	0	#	0	#	1	0	0.03068593541422779	0.49818181818181817	1	180.34199070894525	4611	259	0.6666666666666666	3134.1482845237024	137	275
#	1	#	1	1	#	1	0.23658775543365188	0.7495462794918331	2	185.57312491693233	4666	260	0.5	371.14624983386466	413	551
#	#	#	1	#	1	1	0.23766413106858106	0.7502270663033606	5	185.2022252949768	4666	260	0.3333333333333333	10389.26000157691	826	1101
1	#	1	0	#	0	0	0.2358699596193902	0.7490909090909091	3	179.51602050369848	4646	263	0.6666666666666666	538.5480615110955	206	275
#	0	#	0	#	#	0	0.030967452127508913	0.49909255898366606	1	179.94151664972046	4668	263	0.3333333333333333	2899.6046787874525	550	1102
#	#	#	1	0	1	1	0.09554190549010923	0.6252285191956124	1	174.23347257729557	4619	275	0.5	174.23347257729557	342	547
0	0	#	0	#	0	0	0.031826552708162995	0.5018315018315018	1	174.82730338205533	4575	287	0.6666666666666666	2850.47504463227	137	273
#	1	#	0	#	0	0	1.0	1.0	21	185.345762090483	4671	294	0.5	44903.46135499043	548	548
#	#	0	#	#	1	0	0.03139348001569862	0.5004582951420715	2	190.43623224692183	4668	309	0.3333333333333333	12819.075742179113	546	1091
#	#	#	0	1	1	1	0.09624882519849634	0.6261510128913443	1	179.69818608015936	4638	335	0.5	179.69818608015936	340	543
1	#	0	1	#	#	0	0.03125	0.5	1	190.31491557218473	4662	336	0.5	3247.7669082868592	270	540
#	1	#	0	#	#	0	0.2369370013489487	0.7497674418604651	11	172.8512911305414	4671	371	0.3333333333333333	47819.64016366764	806	1075
#	#	1	0	0	1	0	0.030673447581537977	0.49814126394052044	1	134.74289316100268	4611	371	0.6666666666666666	2342.638755892416	134	269
1	#	1	0	0	#	0	0.23582707885020218	0.7490636704119851	4	167.20229685635314	4611	387	0.6666666666666666	668.8091874254126	200	267
#	0	#	#	0	1	0	0.23582707885020218	0.7490636704119851	4	156.51046875325656	4634	387	0.5	581.5523437662828	400	534
1	#	#	#	#	1	1	0.2376748975488798	0.7502338634237605	15	185.0946426343326	4666	388	0.3333333333333333	106319.4071282136	802	1069
#	0	#	#	#	#	0	0.03095849084480687	0.499063670411985	1	172.88719372567593	4668	397	0.16666666666666666	2696.867487025087	1066	2136
#	1	#	0	#	1	0	0.030959033684805817	0.49906542056074765	2	161.16603638709793	4631	399	0.5	11104.734188209144	267	535
#	#	0	#	1	#	0	0.03125	0.5	3	187.79583036657885	4668	400	0.3333333333333333	28276.029667648894	535	1070
1	0	#	#	1	#	1	1.0	1.0	22	171.95224776072305	4638	414	0.5	44382.85816094577	532	532
0	1	#	1	#	#	1	1.0	1.0	32	170.8135928011015	4644	434	0.5	93279.11814240747	528	528
#	#	0	1	0	1	0	0.03125	0.5	1	194.67569833164805	4634	449	0.6666666666666666	3322.184648472026	131	262
0	0	#	#	#	1	0	0.030954633500942488	0.4990512333965844	1	167.81241768579528	4668	449	0.5	2774.5161771162834	263	527
1	1	#	#	#	1	1	1.0	1.0	35	186.676815931931	4666	452	0.5	121951.88593632642	526	526
0	0	#	0	1	#	1	0.030660394310230217	0.49809885931558934	2	178.47365156581077	4621	461	0.6666666666666666	11713.028944545349	131	263
#	1	#	0	#	0	1	0.0	0.0	1	185.345762090483	486	486	0.5	10182.190783444541	0	524
#	1	#	1	#	1	1	1.0	1.0	26	202.08961363426812	4666	497	0.5	72853.88854751483	521	521
1	#	#	#	#	#	1	0.03125	0.5	1	184.54899289672716	4666	497	0.16666666666666666	3149.3701388860436	1042	2084
0	#	0	#	#	#	0	0.23920311531878313	0.7511961722488039	13	188.96622207903226	4668	501	0.3333333333333333	68393.27556197702	785	1045
0	#	#	#	#	#	0	0.03109990421619843	0.49951876804619827	3	172.71242908818408	4671	514	0.16666666666666666	24770.26375526705	1038	2078
#	#	0	#	1	#	1	0.03125	0.5	1	187.79583036657885	4666	528	0.3333333333333333	3112.0794157253613	519	1038
#	1	#	1	0	1	0	0.0	0.0	1	195.6698979744305	531	531	0.6666666666666666	10434.84652921531	0	257
#	0	#	1	0	#	0	0.2334895791260084	0.7475728155339806	1	150.37236604702605	4645	538	0.5	150.37236604702605	385	515
0	#	0	1	#	#	0	0.03155577066354986	0.5009746588693957	1	170.54845931730955	4645	565	0.5	2882.2460778565023	257	513
1	#	0	#	#	#	0	0.03109785812756278	0.4995121951219512	1	188.65049984179933	4662	566	0.3333333333333333	3235.1135583873447	512	1025
1	#	#	#	#	0	0	0.23537035899529074	0.7487733071638861	9	174.08872586140774	4662	592	0.3333333333333333	31949.638113447774	763	1019
1	#	#	#	1	#	1	0.2373046875	0.75	7	184.3781151393867	4666	606	0.3333333333333333	20303.04520186034	762	1016
#	#	1	1	#	#	1	0.2365225369366399	0.7495049504950495	3	155.37919700083233	4655	626	0.3333333333333333	466.137591002497	757	1010
0	1	#	#	1	#	1	0.0306372739343103	0.4980237154150198	1	176.92916233799028	4445	626	0.5	3109.426805989257	252	506
#	1	#	#	#	#	0	0.03140485598990022	0.5004945598417408	1	179.67583586435717	4671	627	0.16666666666666666	3129.602466462317	1012	2022
