A_0	A_1	R_0	R_1	R_2	R_3	phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0	#	#	#	#	1	0	0.03125	0.5	3	133.8703075118596	2608	0	0.3333333333333333	None	328	656
#	#	#	1	#	1	1	0.2373046875	0.75	11	162.51084072009175	2586	1	0.3333333333333333	None	492	656
0	#	#	0	0	1	1	0.0009765625	0.25	1	124.43201107985048	2242	2	0.6666666666666666	None	41	164
0	#	#	#	1	#	0	0.03125	0.5	3	135.52131749348092	2610	3	0.3333333333333333	None	327	654
0	#	0	1	1	0	1	0.03125	0.5	2	120.31594638912868	2564	4	0.8333333333333334	None	41	82
#	#	1	#	#	#	1	0.09514939919499836	0.6247139588100686	10	145.55100600045404	2606	7	0.16666666666666666	None	819	1311
#	#	1	1	#	0	0	0.0075298581327189786	0.3761467889908257	1	122.90106904271856	2619	13	0.5	None	123	327
1	#	#	#	0	#	0	0.23669777045866092	0.7496159754224271	20	164.98436706580375	2617	18	0.3333333333333333	None	488	651
#	#	#	#	#	0	0	0.09507435432201304	0.6246153846153846	9	126.01101766425731	2619	20	0.16666666666666666	None	812	1300
#	#	0	1	#	0	1	0.007569620421234069	0.3765432098765432	2	126.92076116942796	2601	27	0.5	None	122	324
#	0	0	0	#	1	1	0.0010383510607113104	0.25308641975308643	3	141.79863743143875	2604	44	0.6666666666666666	None	41	162
#	1	0	0	#	1	1	0.03322723394276193	0.5061728395061729	6	134.14480308738632	2552	52	0.6666666666666666	None	82	162
#	#	#	1	1	1	1	0.5061185335739647	0.8726708074534162	9	164.94750904383335	2586	54	0.5	None	281	322
1	#	#	#	0	1	0	0.03076626321556655	0.4984423676012461	7	168.38155498477707	2617	57	0.5	None	160	321
0	#	1	0	#	1	1	0.030279579160790774	0.4968553459119497	1	115.58344515204813	2391	66	0.6666666666666666	None	79	159
#	#	#	#	0	#	1	0.007367579735294428	0.3745113369820172	1	149.66974564636007	2606	66	0.16666666666666666	None	479	1279
#	#	0	1	1	0	1	0.030279579160790774	0.4968553459119497	2	122.50897753969524	2564	68	0.6666666666666666	None	79	159
1	#	#	1	#	1	1	0.23855497286298294	0.750788643533123	6	176.2567035318604	2586	90	0.5	None	238	317
0	#	#	#	0	0	1	0.031749191167943516	0.5015873015873016	1	121.445037313218	2601	105	0.5	None	158	315
#	#	0	1	#	#	1	0.03075554795692331	0.4984076433121019	1	142.41486394350483	2601	105	0.3333333333333333	None	313	628
#	0	0	#	#	1	1	0.0009309368989650356	0.24761904761904763	4	147.4805733780995	2604	108	0.5	None	78	315
0	#	#	#	#	0	0	0.03150080128102434	0.5008	3	126.98088985496847	2610	114	0.3333333333333333	None	313	625
#	#	1	1	#	#	0	0.0009765625	0.25	1	144.00134506286045	2619	123	0.3333333333333333	None	156	624
#	#	1	#	#	0	0	0.03150080128102434	0.5008	3	131.45014638132653	2619	123	0.3333333333333333	None	313	625
0	#	#	#	#	#	0	0.03125	0.5	6	135.36651007939318	2610	125	0.16666666666666666	None	624	1248
#	#	1	#	0	#	1	0.0310000012851328	0.49919743178170145	2	138.8149047415594	2606	130	0.3333333333333333	None	311	623
#	#	0	1	1	0	0	0.0322711559892223	0.5032258064516129	1	122.50897753969524	2437	132	0.6666666666666666	None	78	155
1	#	#	1	1	1	1	1.0	1.0	12	175.0948734796304	2586	154	0.6666666666666666	None	155	155
0	#	1	#	#	#	0	0.000992467091935952	0.25080906148867316	2	129.5649962342223	2610	159	0.3333333333333333	None	155	618
#	0	0	0	#	1	0	0.23990099414539548	0.7516339869281046	2	141.79863743143875	2496	172	0.6666666666666666	None	115	153
#	#	#	0	1	0	0	0.09630916986968902	0.6262295081967213	1	133.93991787610258	2610	178	0.5	None	191	305
#	#	1	#	#	1	1	0.23665808110665365	0.7495908346972177	6	156.1051415942806	2606	181	0.3333333333333333	None	458	611
#	#	#	1	#	#	1	0.09490009785436687	0.6243862520458265	9	142.57638192901413	2601	181	0.16666666666666666	None	763	1222
1	#	#	#	0	1	1	0.031765665426185655	0.5016393442622951	2	168.38155498477707	2606	185	0.5	None	153	305
0	#	#	1	#	#	1	0.23600224999146535	0.7491749174917491	5	131.46713103554202	2601	196	0.3333333333333333	None	454	606
1	#	#	0	0	0	1	0.0	0.0	1	167.5505263538006	200	200	0.6666666666666666	None	0	151
#	1	0	0	0	0	1	0.0	0.0	1	152.7120250004698	207	207	0.8333333333333334	None	0	74
1	0	#	0	#	0	1	0.03125	0.5	1	153.62790354276035	2512	208	0.6666666666666666	None	75	150
1	#	#	1	0	1	0	0.030215324071577322	0.4966442953020134	1	169.22494103197332	2589	221	0.6666666666666666	None	74	149
#	#	#	#	1	0	0	0.03204310684834553	0.5025125628140703	2	126.0055940070849	2619	225	0.3333333333333333	None	300	597
#	#	#	0	#	0	0	0.23532385812437429	0.7487437185929648	5	137.16118461078887	2610	225	0.3333333333333333	None	447	597
#	#	1	#	1	0	0	0.007626194313022187	0.3771043771043771	1	130.98183033331338	2619	251	0.5	None	112	297
1	#	#	1	1	0	0	0.03231282844749583	0.5033557046979866	3	122.99117319274728	2619	251	0.6666666666666666	None	75	149
0	#	0	#	#	1	0	0.2373046875	0.75	6	134.31633606648018	2608	253	0.5	None	222	296
0	0	#	#	#	#	0	0.03125	0.5	2	127.96175333530854	2608	253	0.3333333333333333	None	296	592
1	#	#	1	#	1	0	0.0009765625	0.25	1	176.2567035318604	2589	254	0.5	None	74	296
#	#	#	#	#	0	1	0.007415771484375	0.375	2	126.01101766425731	2601	255	0.16666666666666666	None	444	1184
0	#	0	1	#	#	1	0.030201438353029086	0.4965986394557823	1	132.43404072442362	2601	260	0.5	None	146	294
#	#	#	1	1	0	1	0.09440153044186854	0.6237288135593221	3	121.75815359505111	2574	260	0.5	None	184	295
1	#	#	1	0	#	0	0.2359486642666986	0.7491408934707904	1	159.94555991055262	2589	285	0.5	None	218	291
0	#	#	#	1	1	0	0.0317906446042157	0.5017182130584192	1	135.65726399221023	2591	287	0.5	None	146	291
#	#	#	0	1	0	1	0.0073733957583343316	0.3745704467353952	1	133.93991787610258	2597	289	0.5	None	109	291
#	0	0	0	1	1	1	0.03125	0.5	2	133.9213719467062	2604	300	0.8333333333333334	None	36	72
#	1	0	0	#	1	0	0.030187174898880603	0.496551724137931	2	134.1448030873864	2451	308	0.6666666666666666	None	72	145
#	1	#	1	#	#	1	0.23525543650134045	0.7487001733102253	8	138.02729830835827	2601	318	0.3333333333333333	None	432	577
#	0	0	0	1	#	0	0.0301725180847762	0.4965034965034965	1	137.0046110898186	2496	320	0.6666666666666666	None	71	143
1	#	0	#	0	#	0	0.23592980888821863	0.7491289198606271	5	164.5065257490493	2589	328	0.5	None	215	287
1	0	0	#	#	0	1	0.03125	0.5	2	149.8995220622578	2512	336	0.6666666666666666	None	71	142
#	#	#	1	1	1	0	3.2728100763504314e-05	0.1267605633802817	1	164.94750904383335	2170	358	0.5	None	36	284
#	0	0	0	1	#	1	0.03125	0.5	2	137.00461108981875	2604	364	0.6666666666666666	None	70	140
1	#	#	#	1	0	0	0.03237398642837216	0.5035460992907801	1	127.42776979493684	2619	379	0.5	None	142	282
#	0	1	#	#	#	1	0.2365980034056265	0.7495527728085868	4	142.998806434025	2597	386	0.3333333333333333	None	419	559
1	#	#	#	0	0	0	1.0	1.0	19	154.42134871672746	2568	392	0.5	None	279	279
1	#	#	0	0	#	0	0.23589048004320312	0.7491039426523297	4	165.58791995771128	2617	392	0.5	None	209	279
1	#	0	#	1	0	1	0.03014195744909584	0.49640287769784175	1	122.85335010757728	2512	400	0.6666666666666666	None	69	139
#	#	1	#	#	#	0	0.007620614715431956	0.3770491803278688	1	145.55100600045404	2619	430	0.16666666666666666	None	414	1098
#	1	#	0	#	0	0	1.0	1.0	21	145.0133135199479	2610	435	0.5	None	273	273
1	#	#	0	0	#	1	0.0009765625	0.25	3	165.58791995771128	2606	441	0.5	None	68	272
#	0	#	#	#	#	1	0.03125	0.5	5	147.11893040400076	2604	450	0.16666666666666666	None	543	1086
#	#	#	1	1	#	1	0.23584883491857075	0.7490774907749077	4	141.67609099229435	2586	452	0.3333333333333333	None	406	542
#	#	#	1	#	0	1	0.030963304691632977	0.4990791896869245	1	121.2066624860071	2601	452	0.3333333333333333	None	271	543
1	#	#	0	1	0	1	0.03010961282556225	0.4962962962962963	1	135.0425837847526	2512	464	0.6666666666666666	None	67	135
0	#	0	#	#	#	0	0.23953079467332908	0.7514018691588785	4	132.73615780554775	2608	467	0.3333333333333333	None	402	535
#	#	0	#	0	#	0	0.23363131129320844	0.7476635514018691	5	151.3950027881396	2608	477	0.3333333333333333	None	400	535
#	#	#	#	0	#	0	0.09351552202808232	0.6225535880708295	5	149.66974564636007	2617	477	0.16666666666666666	None	668	1073
#	#	#	0	#	#	0	0.09439195003162615	0.6237161531279178	5	143.45914048808623	2617	481	0.16666666666666666	None	668	1071
#	1	1	#	#	1	1	0.23877862512345643	0.7509293680297398	2	151.3112859813295	2606	482	0.5	None	202	269
#	0	#	0	#	#	1	0.03066481057996481	0.4981132075471698	2	139.1480486473417	2604	492	0.3333333333333333	None	264	530
#	0	0	#	1	#	1	0.03066481057996481	0.4981132075471698	4	149.09147087442568	2604	492	0.5	None	132	265
1	#	#	1	1	#	1	0.22999006460103377	0.7453183520599251	1	144.8945189523973	2586	502	0.5	None	199	267
0	#	#	1	1	#	0	0.0010144092976353194	0.25190839694656486	1	138.218589675511	2437	516	0.5	None	66	262
