A_0	A_1	R_0	R_1	R_2	R_3	phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0	#	1	#	1	1	1	0.2373046875	0.75	5	182.8908022832202	3136	0	0.6666666666666666	None	150	200
#	#	0	#	0	#	0	0.2373046875	0.75	6	187.18187289282608	3192	1	0.3333333333333333	None	600	800
1	#	1	#	#	1	0	0.0009765625	0.25	2	163.4463674212198	3138	2	0.5	None	100	400
0	#	#	#	1	#	0	0.03144604706345809	0.5006257822277848	2	160.10794991237873	3164	3	0.3333333333333333	None	400	799
1	#	#	#	0	1	1	0.03164357186317909	0.5012531328320802	3	172.79134226072256	3140	4	0.5	None	200	399
#	#	1	0	1	#	1	0.095367431640625	0.625	1	150.95349696722886	3175	5	0.5	None	250	400
#	0	#	#	1	0	1	0.2373046875	0.75	9	155.566066273798	3175	6	0.5	None	300	400
0	1	0	#	#	1	1	0.03125	0.5	1	159.28662073500735	2620	8	0.6666666666666666	None	100	200
0	1	1	#	0	#	0	0.03125	0.5	2	176.9748946004627	3146	10	0.6666666666666666	None	100	200
1	#	#	#	#	#	0	0.0315453665190101	0.5009416195856874	7	181.17833323059958	3192	12	0.16666666666666666	None	798	1593
#	#	#	1	0	#	1	0.03144604706345809	0.5006257822277848	4	188.93494327080174	3190	14	0.3333333333333333	None	400	799
1	#	#	1	#	#	1	0.031447534136687307	0.5006305170239597	2	184.33363964333122	3181	25	0.3333333333333333	None	397	793
0	#	#	#	#	#	0	0.03125	0.5	7	167.50159481209013	3171	28	0.16666666666666666	None	793	1586
1	#	0	#	#	1	1	0.2373046875	0.75	6	167.76840548212823	3181	30	0.5	None	297	396
#	#	0	#	#	#	0	0.09615319023225707	0.626026531901453	5	166.08957266853253	3192	33	0.16666666666666666	None	991	1583
1	#	#	#	0	#	1	0.0009703895583532499	0.24968314321926488	4	188.44032136937687	3140	34	0.3333333333333333	None	197	789
0	#	1	0	0	#	1	0.0328604910254172	0.5050505050505051	2	139.51830533062838	3180	44	0.6666666666666666	None	100	198
#	#	#	1	0	0	1	0.007384534075210495	0.37468354430379747	1	191.48490639259677	3190	47	0.5	None	148	395
1	#	#	#	#	0	0	0.23780894717247986	0.7503184713375797	4	184.2563527961485	3192	58	0.3333333333333333	None	589	785
#	#	#	1	0	1	1	0.095367431640625	0.625	2	181.11165896534033	3156	60	0.5	None	245	392
0	#	#	#	#	0	1	0.03125	0.5	3	176.12746999229265	3190	61	0.3333333333333333	None	393	786
0	#	1	0	#	#	0	0.03085242248408093	0.49872122762148335	4	146.94136074712904	3146	74	0.5	None	195	391
0	1	#	#	0	#	0	0.030456894189107738	0.49743589743589745	2	181.8922319207778	3146	74	0.5	None	194	390
1	#	#	#	#	1	0	0.0009517779434096168	0.24871794871794872	1	170.67680973587818	3138	79	0.3333333333333333	None	194	780
